t,cam1_x,cam1_y,cam1_src,cam2_x,cam2_y,cam2_src
780,926.0,649.0,detected,941.0,529.0,detected
781,,,none,968.0,548.0,detected
782,,,none,998.0,574.0,detected
783,,,none,1031.0,611.0,detected
784,,,none,1065.0,649.0,detected
785,,,none,1102.0,701.0,detected
786,,,none,1140.0,754.0,detected
787,,,none,1189.0,829.0,detected
788,,,none,,,none
789,,,none,1050.0,784.0,detected
790,,,none,964.0,739.0,detected
791,,,none,881.0,701.0,detected
792,,,none,814.0,675.0,detected
793,,,none,754.0,652.0,detected
794,,,none,709.0,638.0,detected
795,,,none,664.0,630.0,detected
796,,,none,626.0,622.0,detected
797,,,none,596.0,619.0,detected
798,,,none,566.0,619.0,detected
799,,,none,540.0,608.0,detected
800,,,none,518.0,578.0,detected
801,,,none,499.0,551.0,detected
802,,,none,484.0,532.0,detected
803,,,none,465.0,514.0,detected
804,,,none,461.0,502.0,detected
805,,,none,495.0,491.0,detected
806,,,none,521.0,484.0,detected
807,,,none,548.0,480.0,detected
808,,,none,570.0,480.0,detected
809,,,none,596.0,480.0,detected
810,,,none,619.0,480.0,detected
811,,,none,624.5,487.5,inpaint
812,,,none,630.0,495.0,detected
813,,,none,655.2,506.2,inpaint
814,,,none,680.5,517.5,inpaint
815,,,none,705.8,528.8,inpaint
816,,,none,731.0,540.0,detected
817,,,none,740.5,534.5,inpaint
818,,,none,750.0,529.0,detected
819,,,none,761.0,529.0,detected
820,,,none,769.0,532.0,detected
821,,,none,780.0,536.0,detected
822,,,none,791.0,540.0,detected
823,,,none,802.0,551.0,detected
824,,,none,814.0,559.0,detected
825,,,none,825.0,574.0,detected
826,,,none,836.0,566.0,detected
827,,,none,851.0,562.0,detected
828,,,none,859.0,562.0,detected
829,,,none,874.0,566.0,detected
830,,,none,885.0,570.0,detected
831,,,none,896.0,578.0,detected
832,,,none,908.0,589.0,detected
833,,,none,922.0,596.0,detected
834,,,none,934.0,592.0,detected
835,,,none,941.0,589.0,detected
836,,,none,941.0,581.0,detected
837,,,none,938.0,570.0,detected
838,,,none,926.0,562.0,detected
839,,,none,919.0,559.0,detected
840,,,none,911.0,559.0,detected
841,,,none,904.0,559.0,detected
842,,,none,892.0,559.0,detected
843,,,none,881.0,566.0,detected
844,,,none,874.0,574.0,detected
845,,,none,866.0,585.0,detected
846,,,none,859.0,600.0,detected
847,,,none,851.0,611.0,detected
848,,,none,844.0,634.0,detected
849,,,none,840.0,626.0,detected
850,,,none,844.0,615.0,detected
851,,,none,844.0,608.0,detected
852,,,none,844.0,608.0,detected
853,,,none,844.0,608.0,detected
854,,,none,844.0,611.0,detected
855,,,none,847.5,618.5,inpaint
856,,,none,851.0,626.0,detected
