frame,cam1_detected,cam1_x_px,cam1_y_px,cam2_detected,cam2_x_px,cam2_y_px,court_x_m,court_y_m,court_z_m,source
246,0,,,1,1488.9,1030.4,7.152,-0.150,,side-2
247,0,,,1,1491.4,1037.9,7.122,0.035,,side-2
248,0,,,1,1488.3,1043.1,7.129,0.157,,side-2
249,0,,,1,1480.2,1059.4,7.140,0.535,,side-2
250,0,,,1,1477.1,1077.8,7.120,0.950,,side-2
251,0,,,1,1470.0,1112.4,7.091,1.691,,side-2
252,0,,,1,1474.1,1116.3,7.062,1.773,,side-2
253,0,,,0,,,,,,lost
254,0,,,1,1463.3,1223.6,6.932,3.776,,side-2
255,0,,,1,1462.6,1242.0,6.907,4.083,,side-2
256,0,,,1,1446.4,1242.9,6.981,4.092,,side-2
257,0,,,1,1436.4,1249.0,7.018,4.189,,side-2
258,0,,,1,1434.4,1247.7,7.029,4.167,,side-2
259,0,,,1,1434.0,1265.9,7.002,4.459,,side-2
260,0,,,1,1427.5,1278.9,7.011,4.661,,side-2
261,0,,,1,1422.6,1300.9,6.999,4.995,,side-2
262,0,,,1,1420.6,1335.9,6.955,5.502,,side-2
263,0,,,0,,,,,,lost
264,0,,,1,1404.9,1432.7,6.888,6.768,,side-2
265,0,,,1,1400.4,1436.1,6.902,6.808,,side-2
266,0,,,1,1387.6,1452.9,6.930,7.006,,side-2
267,0,,,1,1379.1,1457.2,6.958,7.056,,side-2
268,1,2642.3,2125.2,1,1375.9,1465.6,6.861,7.702,0.182,both (3D)
269,1,2619.3,2080.6,1,1367.8,1483.9,6.853,7.941,0.192,both (3D)
270,1,2609.9,2058.8,1,1362.3,1520.5,6.859,8.167,0.137,both (3D)
271,1,2591.3,2038.4,1,1337.9,1622.1,6.899,8.668,-0.056,both (3D)
272,1,2574.1,2026.8,1,1343.5,1603.7,6.862,8.647,-0.002,both (3D)
273,1,2563.2,1987.5,1,1338.7,1654.1,6.863,8.977,-0.049,both (3D)
274,1,2553.0,1933.4,1,1327.0,1662.2,6.868,9.210,0.015,both (3D)
275,1,2546.2,1878.7,1,1312.1,1669.6,6.882,9.447,0.085,both (3D)
276,1,2528.4,1837.1,1,1312.3,1692.7,6.856,9.694,0.109,both (3D)
277,1,2515.7,1787.0,1,1301.4,1716.1,6.854,9.983,0.150,both (3D)
278,1,2514.5,1772.5,1,1295.4,1734.4,6.863,10.109,0.144,both (3D)
279,1,2516.7,1757.0,1,1911.6,567.4,6.936,10.569,,side-1
280,1,2517.7,1755.1,1,1284.5,1705.5,6.881,10.078,0.223,both (3D)
281,1,2517.7,1756.3,1,1283.1,1702.9,6.883,10.066,0.225,both (3D)
282,1,2515.4,1761.7,0,,,6.926,10.529,,side-1
283,1,2516.3,1774.6,1,1282.5,1766.2,6.890,10.227,0.087,both (3D)
284,1,2516.1,1802.2,1,1290.7,1726.1,6.875,9.978,0.107,both (3D)
285,1,2516.3,1833.7,1,1290.6,1765.7,6.882,10.007,-0.014,both (3D)
286,1,2510.4,1847.9,1,1295.6,1776.5,6.867,9.997,-0.057,both (3D)
287,1,2520.0,1867.5,1,1299.8,1788.5,6.878,9.955,-0.112,both (3D)
288,1,2518.4,1875.4,1,1309.9,1774.9,6.858,9.870,-0.101,both (3D)
289,1,2520.7,1878.3,1,1308.9,1766.1,6.862,9.828,-0.090,both (3D)
290,1,2521.3,1880.0,1,1310.1,1765.8,6.861,9.819,-0.093,both (3D)
291,1,2522.3,1889.2,1,1314.4,1764.9,6.856,9.778,-0.107,both (3D)
292,1,2523.8,1897.5,1,1315.1,1757.7,6.857,9.722,-0.107,both (3D)
293,1,2524.7,1907.0,1,1316.9,1755.3,6.855,9.679,-0.118,both (3D)
294,1,2526.1,1911.8,1,1319.1,1746.8,6.853,9.628,-0.111,both (3D)
295,1,2528.2,1914.1,1,1317.9,1742.8,6.858,9.605,-0.107,both (3D)
296,1,2527.5,1916.2,1,1324.2,1736.8,6.845,9.570,-0.099,both (3D)
297,0,,,1,1325.2,1736.1,6.826,9.782,,side-2
298,1,2512.6,1923.9,1,1333.7,1736.1,6.808,9.547,-0.111,both (3D)
299,1,2511.0,1920.0,1,1337.4,1732.6,6.798,9.545,-0.098,both (3D)
300,0,,,1,1340.0,1717.4,6.797,9.630,,side-2
301,0,,,1,1342.5,1710.1,6.796,9.569,,side-2
302,1,2505.8,1819.4,1,1343.5,1703.7,6.771,9.785,0.117,both (3D)
303,1,2514.8,1782.9,1,1331.2,1683.8,6.800,9.845,0.212,both (3D)
304,1,2520.6,1750.7,0,,,6.956,10.623,,side-1
305,1,2537.2,1710.9,0,,,7.062,10.969,,side-1
306,1,2546.1,1671.3,0,,,7.147,11.331,,side-1
307,1,2549.0,1663.5,0,,,7.169,11.404,,side-1
308,0,,,0,,,,,,lost
309,0,,,0,,,,,,lost
310,1,2548.7,1603.7,0,,,7.257,11.994,,side-1
311,1,2543.2,1589.1,0,,,7.260,12.144,,side-1
312,1,2521.0,1579.5,1,1282.6,1492.3,6.852,9.927,0.872,both (3D)
313,1,2506.6,1562.9,0,,,7.167,12.424,,side-1
314,1,2496.3,1549.6,0,,,7.150,12.568,,side-1
315,0,,,0,,,,,,lost
316,0,,,0,,,,,,lost
317,0,,,0,,,,,,lost
318,0,,,0,,,,,,lost
319,0,,,0,,,,,,lost
320,0,,,0,,,,,,lost
321,0,,,1,2626.3,2118.2,3.099,12.422,,side-2
322,0,,,0,,,,,,lost
323,0,,,0,,,,,,lost
324,0,,,1,1232.9,1628.2,7.269,8.824,,side-2
325,0,,,0,,,,,,lost
326,0,,,0,,,,,,lost
327,0,,,1,1201.9,1690.7,7.290,9.383,,side-2
328,0,,,1,1205.3,1695.0,7.273,9.421,,side-2
329,0,,,1,1217.8,1712.7,7.208,9.574,,side-2
330,0,,,1,1222.7,1734.7,7.164,9.757,,side-2
331,1,2444.3,1470.7,1,1225.5,1756.9,6.820,11.523,0.674,both (3D)
332,1,2445.8,1462.8,1,1227.4,1764.6,6.819,11.577,0.679,both (3D)
333,1,2430.6,1443.1,1,1221.5,1800.9,6.798,11.811,0.674,both (3D)
334,1,2428.4,1428.2,1,1211.8,1804.5,6.805,11.899,0.701,both (3D)
335,1,2429.2,1410.6,0,,,7.111,14.261,,side-1
336,1,1566.2,1041.3,1,1177.6,1818.8,3.053,21.130,,side-1
337,0,,,1,2393.8,955.2,1.890,-1.626,,side-2
338,0,,,1,1123.9,1819.8,7.374,10.410,,side-2
339,0,,,1,996.4,1509.1,8.352,7.571,,side-2
340,0,,,0,,,,,,lost
341,0,,,0,,,,,,lost
342,0,,,0,,,,,,lost
343,0,,,0,,,,,,lost
344,1,2433.8,1323.6,1,1314.3,977.1,7.287,15.516,,side-1
345,1,2431.6,1326.4,1,1075.1,1952.6,6.961,12.940,0.771,both (3D)
346,1,2434.5,1328.0,0,,,7.282,15.449,,side-1
347,1,2428.4,1328.3,0,,,7.254,15.443,,side-1
348,1,2432.3,1324.8,0,,,7.279,15.497,,side-1
349,1,2427.9,1322.0,0,,,7.265,15.541,,side-1
350,1,2430.0,1320.0,0,,,7.278,15.572,,side-1
351,1,2426.2,1317.2,0,,,7.266,15.615,,side-1
352,1,2427.1,1317.1,0,,,7.271,15.616,,side-1
353,0,,,0,,,,,,lost
354,1,2417.9,1311.8,0,,,7.240,15.699,,side-1
355,1,2412.3,1290.7,0,,,7.255,16.037,,side-1
356,1,2408.5,1281.2,1,2822.5,1805.0,7.257,16.193,,side-1
357,0,,,0,,,,,,lost
358,0,,,0,,,,,,lost
359,0,,,0,,,,,,lost
360,0,,,0,,,,,,lost
361,0,,,0,,,,,,lost
362,0,,,0,,,,,,lost
363,0,,,0,,,,,,lost
364,0,,,1,656.3,2122.5,8.295,12.292,,side-2
365,1,2384.7,1172.9,0,,,7.374,18.167,,side-1
366,1,2384.8,1191.1,0,,,7.334,17.807,,side-1
367,1,2385.7,1204.3,0,,,7.309,17.555,,side-1
368,0,,,0,,,,,,lost
369,0,,,0,,,,,,lost
370,0,,,1,3080.4,1875.0,1.515,11.017,,side-2
371,0,,,0,,,,,,lost
372,0,,,0,,,,,,lost
373,0,,,0,,,,,,lost
374,0,,,0,,,,,,lost
375,0,,,0,,,,,,lost
376,0,,,0,,,,,,lost
377,0,,,0,,,,,,lost
378,1,2374.1,1127.3,0,,,7.427,19.120,,side-1
379,1,2370.1,1110.0,0,,,7.449,19.504,,side-1
380,0,,,0,,,,,,lost
381,0,,,0,,,,,,lost
382,0,,,0,,,,,,lost
383,0,,,0,,,,,,lost
384,0,,,0,,,,,,lost
385,0,,,0,,,,,,lost
386,0,,,0,,,,,,lost
387,0,,,0,,,,,,lost
388,0,,,0,,,,,,lost
389,0,,,0,,,,,,lost
390,0,,,0,,,,,,lost
391,0,,,0,,,,,,lost
392,1,2373.8,1098.7,0,,,7.498,19.762,,side-1
393,0,,,0,,,,,,lost
394,0,,,0,,,,,,lost
395,0,,,0,,,,,,lost
396,0,,,0,,,,,,lost
397,0,,,0,,,,,,lost
398,0,,,0,,,,,,lost
399,0,,,0,,,,,,lost
400,0,,,0,,,,,,lost
401,0,,,0,,,,,,lost
402,1,2279.4,989.2,0,,,7.243,22.600,,side-1
403,1,2280.2,958.0,0,,,7.333,23.539,,side-1
404,1,2303.9,964.2,0,,,7.463,23.351,,side-1
405,1,2293.0,955.1,0,,,7.422,23.633,,side-1
406,1,2277.0,925.0,0,,,7.409,24.611,,side-1
407,1,2275.6,921.6,0,,,7.410,24.729,,side-1
408,1,2300.5,952.5,0,,,7.477,23.716,,side-1
409,1,2284.1,996.5,0,,,7.252,22.390,,side-1
410,0,,,0,,,,,,lost
411,1,2306.2,948.8,0,,,7.525,23.834,,side-1
412,0,,,0,,,,,,lost
413,1,2257.6,922.4,0,,,7.289,24.698,,side-1
414,1,2254.4,926.6,0,,,7.256,24.555,,side-1
415,1,2258.5,942.8,0,,,7.238,24.023,,side-1
416,1,2258.8,968.8,0,,,7.170,23.205,,side-1
417,1,2261.1,983.8,0,,,7.146,22.756,,side-1
418,1,2258.3,1006.2,0,,,7.074,22.113,,side-1
419,1,2248.4,1043.7,0,,,6.932,21.103,,side-1
420,1,2245.6,1078.1,0,,,6.845,20.244,,side-1
421,1,2237.9,1118.8,0,,,6.727,19.303,,side-1
422,1,2235.0,1166.1,0,,,6.632,18.299,,side-1
423,1,2225.2,1208.1,0,,,6.519,17.479,,side-1
424,1,2224.6,1190.4,0,,,6.542,17.817,,side-1
425,1,2219.5,1154.8,1,1467.3,986.6,6.572,18.530,,side-1
426,1,2218.7,1123.7,0,,,6.617,19.194,,side-1
427,1,2220.7,1098.5,0,,,6.671,19.763,,side-1
428,1,2217.6,1085.4,0,,,6.678,20.070,,side-1
429,1,2208.7,1073.8,0,,,6.650,20.346,,side-1
430,1,2214.3,1057.7,0,,,6.710,20.744,,side-1
431,1,2209.1,1051.7,0,,,6.693,20.896,,side-1
432,0,,,0,,,,,,lost
433,1,2215.7,1054.5,0,,,6.724,20.826,,side-1
434,1,2215.9,1040.6,0,,,6.752,21.182,,side-1
435,1,2223.6,1031.2,0,,,6.815,21.428,,side-1
436,1,2223.0,1027.1,1,1267.5,1931.3,6.253,14.439,1.557,both (3D)
437,1,2229.1,1031.2,1,1193.4,2113.6,6.327,14.961,1.428,both (3D)
438,1,2223.9,1038.9,1,1256.2,1893.7,6.272,14.280,1.555,both (3D)
439,1,2225.9,1051.7,1,1313.5,1718.3,6.230,13.604,1.657,both (3D)
440,1,2223.2,1072.1,1,1376.1,1579.6,6.164,12.938,1.730,both (3D)
441,1,2223.0,1105.7,1,1527.3,1313.7,5.975,11.436,1.942,both (3D)
442,1,2220.4,1154.3,0,,,6.577,18.541,,side-1
443,1,2219.1,1212.7,1,1601.2,1200.1,5.858,10.191,1.913,both (3D)
444,1,2217.0,1275.8,1,1622.8,1159.7,5.817,9.621,1.882,both (3D)
445,1,2212.5,1371.1,1,1628.6,1159.3,5.801,9.155,1.750,both (3D)
446,1,2209.8,1484.1,1,1653.7,1143.9,5.751,8.530,1.634,both (3D)
447,1,2211.7,1628.1,1,1671.6,1135.6,5.717,7.863,1.485,both (3D)
448,1,2197.5,1770.0,1,1669.1,1138.9,5.702,7.357,1.328,both (3D)
449,1,2187.0,1967.5,1,1697.7,1142.5,5.631,6.675,1.133,both (3D)
450,1,2201.4,1777.5,1,1715.9,1147.2,5.618,7.328,1.302,both (3D)
